cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness	clean_reads
7	16	12	0.1730	1.0000
7	17	1	0.4255	4.0000
7	17	3	1.2182	9.0000
7	17	11	0.0000	0.0000
7	17	16	0.7773	6.9071
7	18	8	0.1715	1.0000
7	19	8	0.1526	1.0000
7	19	16	21.3444	156.0000
7	19	17	0.4159	2.0000
7	20	12	0.3891	2.0000
8	1	3	0.0000	0.0000
8	1	15	0.3215	1.0000
8	1	18	4.1040	14.0000
8	1	19	1.7016	4.6650
8	2	1	0.4977	2.0000
8	2	3	0.0000	0.0000
8	2	4	0.0000	0.0000
8	2	6	0.0000	0.0000
8	2	13	0.3807	1.0000
8	2	15	0.6415	2.0000
8	2	16	0.5218	2.0000
8	2	19	0.3640	1.0000
8	3	3	1.4957	5.8480
8	3	9	1.4806	5.0000
8	3	14	0.0000	0.0000
8	3	16	0.4355	2.0000
8	4	3	0.0000	0.0000
8	5	3	0.4227	1.7190
8	5	15	45.1717	173.0000
8	5	18	0.7087	3.0000
8	5	19	3.8981	13.0000
8	6	3	0.0000	0.0000
8	6	18	0.1148	0.4650
8	7	1	0.0000	0.0000
8	7	2	0.0000	0.0000
8	7	3	0.0000	0.0000
8	7	4	0.0147	0.0723
8	7	5	0.0000	0.0000
8	7	6	0.0000	0.0000
8	7	7	0.0079	0.0241
